Time (est),LO-L1S-WQ Phycocyanin fluorescence (RFU)
2021-08-15 12:00:00,95.94
2021-08-15 13:00:00,96.84
2021-08-15 14:00:00,97.91
2021-08-15 15:00:00,100.5
2021-08-15 16:00:00,100.79
2021-08-15 17:00:00,98.47
2021-08-15 18:00:00,98.99
2021-08-15 19:00:00,96.82
2021-08-15 20:00:00,96.18
2021-08-15 21:00:00,92.74
2021-08-15 22:00:00,90.21
2021-08-15 23:00:00,86.14
2021-08-16 00:00:00,84.94
2021-08-16 01:00:00,81.77
2021-08-16 02:00:00,75.25
2021-08-16 03:00:00,77.17
2021-08-16 04:00:00,79.88
2021-08-16 05:00:00,79.42
2021-08-16 06:00:00,83.66
2021-08-16 07:00:00,81.03
2021-08-16 08:00:00,78.64
2021-08-16 09:00:00,78.84
2021-08-16 10:00:00,76.58
2021-08-16 11:00:00,78.67
2021-08-16 12:00:00,76.82
2021-08-16 13:00:00,75.07
2021-08-16 14:00:00,73.29
2021-08-16 15:00:00,73.11
2021-08-16 16:00:00,71.13
2021-08-16 17:00:00,69.2
2021-08-16 18:00:00,71.05
2021-08-16 19:00:00,68.58
2021-08-16 20:00:00,69.41
2021-08-16 21:00:00,69.22
2021-08-16 22:00:00,74.94
2021-08-16 23:00:00,81.39
2021-08-17 00:00:00,81.27
2021-08-17 01:00:00,81.45
2021-08-17 02:00:00,83.78
2021-08-17 03:00:00,82.26
2021-08-17 04:00:00,84.17
2021-08-17 05:00:00,81.59
2021-08-17 06:00:00,79.04
2021-08-17 07:00:00,76.48
2021-08-17 08:00:00,72.7
2021-08-17 09:00:00,71.09
2021-08-17 10:00:00,68.0
2021-08-17 11:00:00,67.19
2021-08-17 12:00:00,73.65
2021-08-17 13:00:00,73.0
2021-08-17 14:00:00,76.45
2021-08-17 15:00:00,77.04
2021-08-17 16:00:00,78.87
2021-08-17 17:00:00,77.94
2021-08-17 18:00:00,74.49
2021-08-17 19:00:00,74.12
2021-08-17 20:00:00,73.92
2021-08-17 21:00:00,74.3
2021-08-17 22:00:00,74.4
2021-08-17 23:00:00,73.23
2021-08-18 00:00:00,73.4
2021-08-18 01:00:00,73.91
2021-08-18 02:00:00,76.01
2021-08-18 03:00:00,73.74
2021-08-18 04:00:00,71.01
2021-08-18 05:00:00,68.4
2021-08-18 06:00:00,66.41
2021-08-18 07:00:00,68.1
2021-08-18 08:00:00,61.26
2021-08-18 09:00:00,60.33
2021-08-18 10:00:00,58.85
2021-08-18 11:00:00,62.91
2021-08-18 12:00:00,63.34
2021-08-18 13:00:00,70.17
2021-08-18 14:00:00,71.25
2021-08-18 15:00:00,73.45
2021-08-18 16:00:00,72.22
2021-08-18 17:00:00,73.06
2021-08-18 18:00:00,72.61
2021-08-18 19:00:00,73.83
2021-08-18 20:00:00,76.33
2021-08-18 21:00:00,77.27
2021-08-18 22:00:00,82.32
2021-08-18 23:00:00,81.59
2021-08-19 00:00:00,78.31
2021-08-19 01:00:00,73.98
2021-08-19 02:00:00,72.97
2021-08-19 03:00:00,70.2
2021-08-19 04:00:00,72.5
2021-08-19 05:00:00,72.76
2021-08-19 06:00:00,66.93
2021-08-19 07:00:00,63.34
2021-08-19 08:00:00,60.37
2021-08-19 09:00:00,54.21
2021-08-19 10:00:00,57.23
2021-08-19 11:00:00,56.51
2021-08-19 12:00:00,59.46
2021-08-19 13:00:00,98.24
2021-08-19 14:00:00,
2021-08-19 15:00:00,
2021-08-19 16:00:00,28.65
2021-08-19 17:00:00,44.89
2021-08-19 18:00:00,53.97
2021-08-19 19:00:00,57.47
2021-08-19 20:00:00,58.91
2021-08-19 21:00:00,59.26
2021-08-19 22:00:00,60.36
2021-08-19 23:00:00,59.86
2021-08-20 00:00:00,58.6
2021-08-20 01:00:00,56.8
2021-08-20 02:00:00,57.46
2021-08-20 03:00:00,57.39
2021-08-20 04:00:00,58.71
2021-08-20 05:00:00,57.8
2021-08-20 06:00:00,55.29
2021-08-20 07:00:00,53.71
2021-08-20 08:00:00,51.69
2021-08-20 09:00:00,51.9
2021-08-20 10:00:00,50.7
2021-08-20 11:00:00,50.01
2021-08-20 12:00:00,47.64
2021-08-20 13:00:00,49.04
2021-08-20 14:00:00,47.61
2021-08-20 15:00:00,48.85
2021-08-20 16:00:00,46.45
2021-08-20 17:00:00,42.52
2021-08-20 18:00:00,36.66
2021-08-20 19:00:00,33.63
2021-08-20 20:00:00,31.53
2021-08-20 21:00:00,32.15
2021-08-20 22:00:00,30.64
2021-08-20 23:00:00,34.02
2021-08-21 00:00:00,38.4
2021-08-21 01:00:00,37.03
2021-08-21 02:00:00,37.66
2021-08-21 03:00:00,43.03
2021-08-21 04:00:00,43.3
2021-08-21 05:00:00,45.25
2021-08-21 06:00:00,45.29
2021-08-21 07:00:00,44.76
2021-08-21 08:00:00,44.56
2021-08-21 09:00:00,44.58
2021-08-21 10:00:00,44.55
2021-08-21 11:00:00,44.39
2021-08-21 12:00:00,43.72
2021-08-21 13:00:00,42.04
2021-08-21 14:00:00,40.54
2021-08-21 15:00:00,38.95
2021-08-21 16:00:00,35.99
2021-08-21 17:00:00,33.85
2021-08-21 18:00:00,31.97
2021-08-21 19:00:00,29.46
2021-08-21 20:00:00,38.7
2021-08-21 21:00:00,39.88
2021-08-21 22:00:00,38.13
2021-08-21 23:00:00,38.44
2021-08-22 00:00:00,38.73
2021-08-22 01:00:00,39.2
2021-08-22 02:00:00,37.47
2021-08-22 03:00:00,36.73
2021-08-22 04:00:00,34.74
2021-08-22 05:00:00,32.57
2021-08-22 06:00:00,31.41
2021-08-22 07:00:00,29.76
2021-08-22 08:00:00,29.19
2021-08-22 09:00:00,28.43
2021-08-22 10:00:00,28.88
2021-08-22 11:00:00,27.31
2021-08-22 12:00:00,25.48
2021-08-22 13:00:00,25.34
2021-08-22 14:00:00,23.75
2021-08-22 15:00:00,22.16
2021-08-22 16:00:00,18.99
2021-08-22 17:00:00,36.72
2021-08-22 18:00:00,34.03
2021-08-22 19:00:00,32.55
2021-08-22 20:00:00,29.46
2021-08-22 21:00:00,27.82
2021-08-22 22:00:00,25.5
2021-08-22 23:00:00,24.02
2021-08-23 00:00:00,23.45
2021-08-23 01:00:00,23.02
2021-08-23 02:00:00,22.33
2021-08-23 03:00:00,21.13
2021-08-23 04:00:00,22.0
2021-08-23 05:00:00,20.26
2021-08-23 06:00:00,19.17
2021-08-23 07:00:00,19.33
2021-08-23 08:00:00,19.39
2021-08-23 09:00:00,19.68
2021-08-23 10:00:00,18.99
2021-08-23 11:00:00,19.21
2021-08-23 12:00:00,19.26
2021-08-23 13:00:00,19.62
2021-08-23 14:00:00,19.19
2021-08-23 15:00:00,19.9
2021-08-23 16:00:00,21.52
2021-08-23 17:00:00,36.34
2021-08-23 18:00:00,32.18
2021-08-23 19:00:00,32.66
2021-08-23 20:00:00,28.48
2021-08-23 21:00:00,24.15
2021-08-23 22:00:00,22.41
2021-08-23 23:00:00,19.59
2021-08-24 00:00:00,17.81
2021-08-24 01:00:00,16.33
2021-08-24 02:00:00,15.57
2021-08-24 03:00:00,15.73
2021-08-24 04:00:00,15.68
2021-08-24 05:00:00,13.74
2021-08-24 06:00:00,12.79
2021-08-24 07:00:00,14.08
2021-08-24 08:00:00,12.89
2021-08-24 09:00:00,14.07
2021-08-24 10:00:00,14.46
2021-08-24 11:00:00,13.15
2021-08-24 12:00:00,13.38
2021-08-24 13:00:00,13.22
2021-08-24 14:00:00,13.34
2021-08-24 15:00:00,21.73
2021-08-24 16:00:00,25.8
